Barcode,Article,Percentage,OriginalPrice
FL205038-009,FL205038,1090Flat,
FL205038-010,FL205038,1090Flat,
FL205038-011,FL205038,1090Flat,
FL205039-005,FL205039,50,
FL205039-006,FL205039,50,
FL205039-007,FL205039,50,
FL205039-008,FL205039,50,
FL205039-009,FL205039,50,
FL205039-010,FL205039,50,
FL205039-011,FL205039,50,
FL205042-005,FL205042,1090Flat,
FL205042-006,FL205042,1090Flat,
FL205042-007,FL205042,1090Flat,
FL205042-008,FL205042,1090Flat,
FL205042-009,FL205042,1090Flat,
FL205042-010,FL205042,1090Flat,
FL205042-011,FL205042,1090Flat,
FL205043-005,FL205043,50,
FL205043-006,FL205043,50,
FL205043-007,FL205043,50,
FL205043-008,FL205043,50,
FL205043-009,FL205043,50,
FL205043-010,FL205043,50,
FL205043-011,FL205043,50,
FL205044-025,FL205044,50,
FL205044-027,FL205044,50,
FL205044-029,FL205044,50,
FL205044-031,FL205044,50,
FL205044-032,FL205044,50,
FL205044-034,FL205044,50,
FL205208-005,FL205208,1090Flat,
FL205208-006,FL205208,1090Flat,
FL205208-007,FL205208,1090Flat,
FL205208-008,FL205208,1090Flat,
FL205208-009,FL205208,1090Flat,
FL205208-010,FL205208,1090Flat,
FL205208-011,FL205208,1090Flat,
FL205209-005,FL205209,50,
FL205209-006,FL205209,50,
FL205209-007,FL205209,50,
FL205209-008,FL205209,50,
FL205209-009,FL205209,50,
FL205209-010,FL205209,50,
FL205209-011,FL205209,50,
FL205213-005,FL205213,50,
FL205213-006,FL205213,50,
FL205213-007,FL205213,50,
FL205213-008,FL205213,50,
FL205213-009,FL205213,50,
FL205213-010,FL205213,50,
FL205213-011,FL205213,50,
FL205224-005,FL205224,50,
FL205224-006,FL205224,50,
FL205224-007,FL205224,50,
FL205224-008,FL205224,50,
FL205224-009,FL205224,50,
FL205224-010,FL205224,50,
FL205224-011,FL205224,50,
FL205236-025,FL205236,50,
FL205236-027,FL205236,50,
FL205236-029,FL205236,50,
FL205236-031,FL205236,50,
FL205236-032,FL205236,50,
FL205236-034,FL205236,50,
FL205240-005,FL205240,50,
FL205240-006,FL205240,50,
FL205240-007,FL205240,50,
FL205240-008,FL205240,50,
FL205240-009,FL205240,50,
FL205240-010,FL205240,50,
FL205240-011,FL205240,50,
FL205241-005,FL205241,50,
FL205241-006,FL205241,50,
FL205241-007,FL205241,50,
FL205241-008,FL205241,50,
FL205241-009,FL205241,50,
FL205241-010,FL205241,50,
FL205241-011,FL205241,50,
FL205242-005,FL205242,50,
FL205242-006,FL205242,50,
FL205242-007,FL205242,50,
FL205242-008,FL205242,50,
FL205242-009,FL205242,50,
FL205242-010,FL205242,50,
FL205242-011,FL205242,50,
FL205680-025,FL205680,50,
FL205680-027,FL205680,50,
FL205680-029,FL205680,50,
FL205680-031,FL205680,50,
FL205680-032,FL205680,50,
FL205680-034,FL205680,50,
FL205681-005,FL205681,50,
FL205681-006,FL205681,50,
FL205681-007,FL205681,50,
FL205681-008,FL205681,50,
FL205681-009,FL205681,50,
FL205681-010,FL205681,50,
FL205681-011,FL205681,50,
FL205682-005,FL205682,50,
FL205682-006,FL205682,50,
FL205682-007,FL205682,50,
FL205682-008,FL205682,50,
FL205682-009,FL205682,50,
FL205682-010,FL205682,50,
FL205682-011,FL205682,50,
FL205683-005,FL205683,50,
FL205683-006,FL205683,50,
FL205683-007,FL205683,50,
FL205683-008,FL205683,50,
FL205683-009,FL205683,50,
FL205683-010,FL205683,50,
FL205683-011,FL205683,50,
FL205893-005,FL205893,50,
FL205893-006,FL205893,50,
FL205893-007,FL205893,50,
FL205893-008,FL205893,50,
FL205893-009,FL205893,50,
FL205893-010,FL205893,50,
FL205893-011,FL205893,50,
FL205896-005,FL205896,50,
FL205896-006,FL205896,50,
FL205896-007,FL205896,50,
FL205896-008,FL205896,50,
FL205896-009,FL205896,50,
FL205896-010,FL205896,50,
FL205896-011,FL205896,50,
FL206120-005,FL206120,50,
FL206120-006,FL206120,50,
FL206120-007,FL206120,50,
FL206120-008,FL206120,50,
FL206120-009,FL206120,50,
FL206120-010,FL206120,50,
FL206120-011,FL206120,50,
FL206121-005,FL206121,50,
FL206121-006,FL206121,50,
FL206121-007,FL206121,50,
FL206121-008,FL206121,50,
FL206121-009,FL206121,50,
FL206121-010,FL206121,50,
FL206121-011,FL206121,50,
FL206122-005,FL206122,50,
FL206122-006,FL206122,50,
FL206122-007,FL206122,50,
FL206122-008,FL206122,50,
FL206122-009,FL206122,50,
FL206122-010,FL206122,50,
FL206122-011,FL206122,50,
FL206177-005,FL206177,50,
FL206177-006,FL206177,50,
FL206177-007,FL206177,50,
FL206177-008,FL206177,50,
FL206177-009,FL206177,50,
FL206177-010,FL206177,50,
FL206177-011,FL206177,50,
FL206297-005,FL206297,50,
FL206297-006,FL206297,50,
FL206297-007,FL206297,50,
FL206297-008,FL206297,50,
FL206297-009,FL206297,50,
FL206297-010,FL206297,50,
FL206297-011,FL206297,50,
FL206460-025,FL206460,50,
FL206460-027,FL206460,50,
FL206460-029,FL206460,50,
FL206460-031,FL206460,50,
FL206460-032,FL206460,50,
FL206460-034,FL206460,50,
FL206461-025,FL206461,50,
FL206461-027,FL206461,50,
FL206461-029,FL206461,50,
FL206461-031,FL206461,50,
FL206461-032,FL206461,50,
FL206461-034,FL206461,50,
FL206995-005,FL206995,50,
FL206995-006,FL206995,50,
FL206995-007,FL206995,50,
FL206995-008,FL206995,50,
FL206995-009,FL206995,50,
FL206995-010,FL206995,50,
FL206995-011,FL206995,50,
FL206996-005,FL206996,50,
FL206996-006,FL206996,50,
FL206996-007,FL206996,50,
FL206996-008,FL206996,50,
FL206996-009,FL206996,50,
FL206996-010,FL206996,50,
FL206996-011,FL206996,50,
FL206997-005,FL206997,50,
FL206997-006,FL206997,50,
FL206997-007,FL206997,50,
FL206997-008,FL206997,50,
FL206997-009,FL206997,50,
FL206997-010,FL206997,50,
FL206997-011,FL206997,50,
FL206998-005,FL206998,50,
FL206998-006,FL206998,50,
FL206998-007,FL206998,50,
FL206998-008,FL206998,50,
FL206998-009,FL206998,50,
FL206998-010,FL206998,50,
FL206998-011,FL206998,50,
FL207001-005,FL207001,50,
FL207001-006,FL207001,50,
FL207001-007,FL207001,50,
FL207001-008,FL207001,50,
FL207001-009,FL207001,50,
FL207001-010,FL207001,50,
FL207001-011,FL207001,50,
FL208617-005,FL208617,50,
FL208617-006,FL208617,50,
FL208617-007,FL208617,50,
FL208617-008,FL208617,50,
FL208617-009,FL208617,50,
FL208617-010,FL208617,50,
FL208617-011,FL208617,50,
FL209598-005,FL209598,50,
FL209598-006,FL209598,50,
FL209598-007,FL209598,50,
FL209598-008,FL209598,50,
FL209598-009,FL209598,50,
FL209598-010,FL209598,50,
FL209598-011,FL209598,50,
FL209599-005,FL209599,50,
FL209599-006,FL209599,50,
FL209599-007,FL209599,50,
FL209599-008,FL209599,50,
FL209599-009,FL209599,50,
FL209599-010,FL209599,50,
FL209599-011,FL209599,50,
